Report Date,FIPS,Locality,Health District,Health Region,Vaccination Status,Sex,People by vaccination status count
03/17/2021,51047,Culpeper,Rappahannock Rapidan,Northwest,Not Reported,Not Reported,0
03/17/2021,51750,Radford,New River,Southwest,At Least One Dose,Male,1479
03/17/2021,51149,Prince George,Crater,Central,Fully Vaccinated,Female,1397
03/17/2021,51031,Campbell,Central Virginia,Southwest,At Least One Dose,Male,4676
03/17/2021,51027,Buchanan,Cumberland Plateau,Southwest,At Least One Dose,Female,2710
03/17/2021,51163,Rockbridge,Central Shenandoah,Northwest,At Least One Dose,Male,2380
03/17/2021,51113,Madison,Rappahannock Rapidan,Northwest,Fully Vaccinated,Not Reported,5
03/17/2021,51057,Essex,Three Rivers,Eastern,Not Reported,Male,0
03/17/2021,Not Reported,Not Reported,Not Reported,Not Reported,Fully Vaccinated,Female,36887
03/17/2021,51660,Harrisonburg,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,77
03/17/2021,51685,Manassas Park,Prince William,Northern,Not Reported,Female,0
03/17/2021,51097,King and Queen,Three Rivers,Eastern,Fully Vaccinated,Not Reported,1
03/17/2021,51113,Madison,Rappahannock Rapidan,Northwest,At Least One Dose,Male,1269
03/17/2021,51167,Russell,Cumberland Plateau,Southwest,Fully Vaccinated,Not Reported,0
03/17/2021,51089,Henry,West Piedmont,Southwest,Fully Vaccinated,Male,1592
03/17/2021,51079,Greene,Blue Ridge,Northwest,Fully Vaccinated,Male,919
03/17/2021,51840,Winchester,Lord Fairfax,Northwest,At Least One Dose,Male,2629
03/17/2021,51119,Middlesex,Three Rivers,Eastern,Not Reported,Male,0
03/17/2021,51680,Lynchburg,Central Virginia,Southwest,Fully Vaccinated,Female,4764
03/17/2021,51011,Appomattox,Central Virginia,Southwest,Fully Vaccinated,Male,762
03/17/2021,51187,Warren,Lord Fairfax,Northwest,Not Reported,Female,0
03/17/2021,51109,Louisa,Blue Ridge,Northwest,Not Reported,Not Reported,0
03/17/2021,51179,Stafford,Rappahannock,Northwest,At Least One Dose,Female,15872
03/17/2021,51036,Charles City,Chickahominy,Central,Not Reported,Not Reported,0
03/17/2021,51011,Appomattox,Central Virginia,Southwest,Not Reported,Not Reported,0
03/17/2021,51079,Greene,Blue Ridge,Northwest,At Least One Dose,Female,2533
03/17/2021,51089,Henry,West Piedmont,Southwest,At Least One Dose,Female,6425
03/17/2021,51107,Loudoun,Loudoun,Northern,Not Reported,Not Reported,0
03/17/2021,51175,Southampton,Western Tidewater,Eastern,Not Reported,Male,0
03/17/2021,51073,Gloucester,Three Rivers,Eastern,Not Reported,Not Reported,0
03/17/2021,51059,Fairfax,Fairfax,Northern,At Least One Dose,Male,84782
03/17/2021,51045,Craig,Alleghany,Southwest,Not Reported,Male,0
03/17/2021,51013,Arlington,Arlington,Northern,At Least One Dose,Not Reported,127
03/17/2021,51165,Rockingham,Central Shenandoah,Northwest,Fully Vaccinated,Male,4234
03/17/2021,51036,Charles City,Chickahominy,Central,At Least One Dose,Not Reported,2
03/17/2021,51083,Halifax,Southside,Central,Not Reported,Female,0
03/17/2021,51053,Dinwiddie,Crater,Central,Fully Vaccinated,Not Reported,3
03/17/2021,51790,Staunton,Central Shenandoah,Northwest,At Least One Dose,Female,4728
03/17/2021,51510,Alexandria,Alexandria,Northern,At Least One Dose,Female,16869
03/17/2021,51670,Hopewell,Crater,Central,Not Reported,Not Reported,0
03/17/2021,51033,Caroline,Rappahannock,Northwest,At Least One Dose,Male,2214
03/17/2021,51175,Southampton,Western Tidewater,Eastern,Not Reported,Not Reported,0
03/17/2021,51177,Spotsylvania,Rappahannock,Northwest,At Least One Dose,Not Reported,42
03/17/2021,51135,Nottoway,Piedmont,Central,Not Reported,Not Reported,0
03/17/2021,51161,Roanoke County,Alleghany,Southwest,Not Reported,Not Reported,0
03/17/2021,51133,Northumberland,Three Rivers,Eastern,Not Reported,Female,0
03/17/2021,51051,Dickenson,Cumberland Plateau,Southwest,At Least One Dose,Not Reported,1
03/17/2021,51109,Louisa,Blue Ridge,Northwest,At Least One Dose,Male,2810
03/17/2021,51019,Bedford,Central Virginia,Southwest,Not Reported,Not Reported,0
03/17/2021,51111,Lunenburg,Piedmont,Central,Fully Vaccinated,Female,709
03/17/2021,51033,Caroline,Rappahannock,Northwest,Fully Vaccinated,Female,2030
03/17/2021,51510,Alexandria,Alexandria,Northern,Fully Vaccinated,Male,6409
03/17/2021,51077,Grayson,Mount Rogers,Southwest,Not Reported,Not Reported,0
03/17/2021,51157,Rappahannock,Rappahannock Rapidan,Northwest,Not Reported,Male,0
03/17/2021,51063,Floyd,New River,Southwest,Fully Vaccinated,Male,930
03/17/2021,51760,Richmond City,Richmond,Central,At Least One Dose,Female,24900
03/17/2021,51107,Loudoun,Loudoun,Northern,Not Reported,Female,0
03/17/2021,51165,Rockingham,Central Shenandoah,Northwest,Not Reported,Female,0
03/17/2021,51025,Brunswick,Southside,Central,At Least One Dose,Not Reported,6
03/17/2021,51005,Alleghany,Alleghany,Southwest,Not Reported,Male,0
03/17/2021,51770,Roanoke City,Roanoke,Southwest,Fully Vaccinated,Not Reported,12
03/17/2021,51075,Goochland,Chickahominy,Central,Fully Vaccinated,Not Reported,8
03/17/2021,51580,Covington,Alleghany,Southwest,At Least One Dose,Female,646
03/17/2021,51650,Hampton,Hampton,Eastern,At Least One Dose,Male,9237
03/17/2021,51111,Lunenburg,Piedmont,Central,Not Reported,Female,0
03/17/2021,51107,Loudoun,Loudoun,Northern,Fully Vaccinated,Female,25918
03/17/2021,51159,Richmond County,Three Rivers,Eastern,Fully Vaccinated,Not Reported,0
03/17/2021,51177,Spotsylvania,Rappahannock,Northwest,Fully Vaccinated,Male,5983
03/17/2021,51183,Sussex,Crater,Central,Fully Vaccinated,Female,418
03/17/2021,51063,Floyd,New River,Southwest,At Least One Dose,Female,2250
03/17/2021,51117,Mecklenburg,Southside,Central,Not Reported,Male,0
03/17/2021,51093,Isle of Wight,Western Tidewater,Eastern,Fully Vaccinated,Not Reported,38
03/17/2021,51195,Wise,Lenowisco,Southwest,At Least One Dose,Male,3847
03/17/2021,51137,Orange,Rappahannock Rapidan,Northwest,At Least One Dose,Male,3107
03/17/2021,51019,Bedford,Central Virginia,Southwest,At Least One Dose,Female,9562
03/17/2021,51570,Colonial Heights,Chesterfield,Central,Not Reported,Female,0
03/17/2021,51167,Russell,Cumberland Plateau,Southwest,Not Reported,Female,0
03/17/2021,51630,Fredericksburg,Rappahannock,Northwest,Fully Vaccinated,Female,2334
03/17/2021,51157,Rappahannock,Rappahannock Rapidan,Northwest,Fully Vaccinated,Male,501
03/17/2021,51720,Norton,Lenowisco,Southwest,Not Reported,Not Reported,0
03/17/2021,51017,Bath,Central Shenandoah,Northwest,Fully Vaccinated,Female,322
03/17/2021,Out-of-State,Out-of-State,Out-of-State,Out-of-State,Fully Vaccinated,Male,10519
03/17/2021,51075,Goochland,Chickahominy,Central,Fully Vaccinated,Female,2278
03/17/2021,51650,Hampton,Hampton,Eastern,Not Reported,Female,0
03/17/2021,51037,Charlotte,Piedmont,Central,Fully Vaccinated,Female,672
03/17/2021,51137,Orange,Rappahannock Rapidan,Northwest,Not Reported,Male,0
03/17/2021,51127,New Kent,Chickahominy,Central,At Least One Dose,Female,3127
03/17/2021,51195,Wise,Lenowisco,Southwest,Fully Vaccinated,Female,2562
03/17/2021,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Male,0
03/17/2021,51730,Petersburg,Crater,Central,At Least One Dose,Female,2976
03/17/2021,51077,Grayson,Mount Rogers,Southwest,At Least One Dose,Male,1653
03/17/2021,51087,Henrico,Henrico,Central,Fully Vaccinated,Female,24585
03/17/2021,51650,Hampton,Hampton,Eastern,At Least One Dose,Not Reported,177
03/17/2021,51115,Mathews,Three Rivers,Eastern,Fully Vaccinated,Female,1008
03/17/2021,51550,Chesapeake,Chesapeake,Eastern,Not Reported,Male,0
03/17/2021,51143,Pittsylvania,Pittsylvania-Danville,Southwest,Fully Vaccinated,Not Reported,7
03/17/2021,51085,Hanover,Chickahominy,Central,Not Reported,Not Reported,0
03/17/2021,51071,Giles,New River,Southwest,Fully Vaccinated,Not Reported,0
03/17/2021,51027,Buchanan,Cumberland Plateau,Southwest,Fully Vaccinated,Male,1404
03/17/2021,51075,Goochland,Chickahominy,Central,At Least One Dose,Male,3185
03/17/2021,51081,Greensville,Crater,Central,Not Reported,Female,0
03/17/2021,51670,Hopewell,Crater,Central,Fully Vaccinated,Female,878
03/17/2021,51790,Staunton,Central Shenandoah,Northwest,Not Reported,Male,0
03/17/2021,Out-of-State,Out-of-State,Out-of-State,Out-of-State,Fully Vaccinated,Not Reported,25
03/17/2021,51141,Patrick,West Piedmont,Southwest,Fully Vaccinated,Male,502
03/17/2021,51610,Falls Church,Fairfax,Northern,Not Reported,Not Reported,0
03/17/2021,51127,New Kent,Chickahominy,Central,At Least One Dose,Not Reported,17
03/17/2021,51163,Rockbridge,Central Shenandoah,Northwest,Fully Vaccinated,Female,1562
03/17/2021,51163,Rockbridge,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,1
03/17/2021,51550,Chesapeake,Chesapeake,Eastern,Fully Vaccinated,Female,14124
03/17/2021,51710,Norfolk,Norfolk,Eastern,Not Reported,Male,0
03/17/2021,51840,Winchester,Lord Fairfax,Northwest,Fully Vaccinated,Female,2644
03/17/2021,51145,Powhatan,Chesterfield,Central,Not Reported,Male,0
03/17/2021,51059,Fairfax,Fairfax,Northern,Not Reported,Female,0
03/17/2021,51161,Roanoke County,Alleghany,Southwest,Fully Vaccinated,Female,10578
03/17/2021,51073,Gloucester,Three Rivers,Eastern,Fully Vaccinated,Female,3391
03/17/2021,51003,Albemarle,Blue Ridge,Northwest,Fully Vaccinated,Male,7544
03/17/2021,51710,Norfolk,Norfolk,Eastern,Fully Vaccinated,Female,9877
03/17/2021,51570,Colonial Heights,Chesterfield,Central,At Least One Dose,Male,1079
03/17/2021,51019,Bedford,Central Virginia,Southwest,Not Reported,Male,0
03/17/2021,51067,Franklin County,West Piedmont,Southwest,At Least One Dose,Not Reported,1
03/17/2021,51595,Emporia,Crater,Central,At Least One Dose,Male,286
03/17/2021,51149,Prince George,Crater,Central,Not Reported,Female,0
03/17/2021,51145,Powhatan,Chesterfield,Central,Fully Vaccinated,Female,1810
03/17/2021,51135,Nottoway,Piedmont,Central,Not Reported,Male,0
03/17/2021,51125,Nelson,Blue Ridge,Northwest,Not Reported,Not Reported,0
03/17/2021,51143,Pittsylvania,Pittsylvania-Danville,Southwest,Fully Vaccinated,Female,4108
03/17/2021,51103,Lancaster,Three Rivers,Eastern,At Least One Dose,Female,2320
03/17/2021,51073,Gloucester,Three Rivers,Eastern,At Least One Dose,Male,3346
03/17/2021,51085,Hanover,Chickahominy,Central,At Least One Dose,Male,10182
03/17/2021,51191,Washington,Mount Rogers,Southwest,Fully Vaccinated,Not Reported,0
03/17/2021,51135,Nottoway,Piedmont,Central,Fully Vaccinated,Male,1082
03/17/2021,51590,Danville,Pittsylvania-Danville,Southwest,Fully Vaccinated,Male,1755
03/17/2021,51113,Madison,Rappahannock Rapidan,Northwest,Not Reported,Not Reported,0
03/17/2021,51009,Amherst,Central Virginia,Southwest,Not Reported,Female,0
03/17/2021,51173,Smyth,Mount Rogers,Southwest,At Least One Dose,Not Reported,3
03/17/2021,51029,Buckingham,Piedmont,Central,At Least One Dose,Male,1884
03/17/2021,51191,Washington,Mount Rogers,Southwest,Fully Vaccinated,Male,4225
03/17/2021,51185,Tazewell,Cumberland Plateau,Southwest,Fully Vaccinated,Not Reported,4
03/17/2021,51087,Henrico,Henrico,Central,Not Reported,Male,0
03/17/2021,51600,Fairfax City,Fairfax,Northern,Fully Vaccinated,Male,1122
03/17/2021,51047,Culpeper,Rappahannock Rapidan,Northwest,Fully Vaccinated,Female,3730
03/17/2021,51103,Lancaster,Three Rivers,Eastern,Fully Vaccinated,Male,854
03/17/2021,51820,Waynesboro,Central Shenandoah,Northwest,At Least One Dose,Not Reported,29
03/17/2021,51678,Lexington,Central Shenandoah,Northwest,Not Reported,Not Reported,0
03/17/2021,51063,Floyd,New River,Southwest,Not Reported,Not Reported,0
03/17/2021,51001,Accomack,Eastern Shore,Eastern,At Least One Dose,Male,3671
03/17/2021,51660,Harrisonburg,Central Shenandoah,Northwest,Fully Vaccinated,Male,1865
03/17/2021,51735,Poquoson,Peninsula,Eastern,Not Reported,Not Reported,0
03/17/2021,51149,Prince George,Crater,Central,Fully Vaccinated,Not Reported,1
03/17/2021,51121,Montgomery,New River,Southwest,Fully Vaccinated,Female,7955
03/17/2021,51185,Tazewell,Cumberland Plateau,Southwest,At Least One Dose,Male,3661
03/17/2021,51169,Scott,Lenowisco,Southwest,Not Reported,Female,0
03/17/2021,51011,Appomattox,Central Virginia,Southwest,At Least One Dose,Male,1372
03/17/2021,51680,Lynchburg,Central Virginia,Southwest,At Least One Dose,Female,9410
03/17/2021,51089,Henry,West Piedmont,Southwest,At Least One Dose,Male,4407
03/17/2021,51079,Greene,Blue Ridge,Northwest,At Least One Dose,Male,1572
03/17/2021,51600,Fairfax City,Fairfax,Northern,At Least One Dose,Female,2963
03/17/2021,51117,Mecklenburg,Southside,Central,Fully Vaccinated,Male,1677
03/17/2021,51199,York,Peninsula,Eastern,At Least One Dose,Not Reported,127
03/17/2021,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Female,0
03/17/2021,51195,Wise,Lenowisco,Southwest,Fully Vaccinated,Male,2273
03/17/2021,51199,York,Peninsula,Eastern,Not Reported,Not Reported,0
03/17/2021,51127,New Kent,Chickahominy,Central,At Least One Dose,Male,2210
03/17/2021,51530,Buena Vista City,Central Shenandoah,Northwest,At Least One Dose,Not Reported,0
03/17/2021,51059,Fairfax,Fairfax,Northern,Not Reported,Not Reported,0
03/17/2021,51600,Fairfax City,Fairfax,Northern,Fully Vaccinated,Not Reported,1
03/17/2021,51590,Danville,Pittsylvania-Danville,Southwest,Not Reported,Female,0
03/17/2021,51191,Washington,Mount Rogers,Southwest,Not Reported,Female,0
03/17/2021,51007,Amelia,Piedmont,Central,At Least One Dose,Not Reported,3
03/17/2021,51097,King and Queen,Three Rivers,Eastern,Fully Vaccinated,Female,417
03/17/2021,51197,Wythe,Mount Rogers,Southwest,Not Reported,Female,0
03/17/2021,51089,Henry,West Piedmont,Southwest,Fully Vaccinated,Female,2733
03/17/2021,51079,Greene,Blue Ridge,Northwest,Fully Vaccinated,Female,1554
03/17/2021,51125,Nelson,Blue Ridge,Northwest,Not Reported,Male,0
03/17/2021,51083,Halifax,Southside,Central,Fully Vaccinated,Not Reported,159
03/17/2021,51117,Mecklenburg,Southside,Central,Not Reported,Female,0
03/17/2021,51195,Wise,Lenowisco,Southwest,At Least One Dose,Female,4511
03/17/2021,51137,Orange,Rappahannock Rapidan,Northwest,At Least One Dose,Female,4804
03/17/2021,51121,Montgomery,New River,Southwest,Not Reported,Male,0
03/17/2021,51540,Charlottesville,Blue Ridge,Northwest,Not Reported,Not Reported,0
03/17/2021,51017,Bath,Central Shenandoah,Northwest,At Least One Dose,Female,500
03/17/2021,51053,Dinwiddie,Crater,Central,At Least One Dose,Not Reported,3
03/17/2021,51091,Highland,Central Shenandoah,Northwest,Fully Vaccinated,Male,209
03/17/2021,51063,Floyd,New River,Southwest,At Least One Dose,Not Reported,1
03/17/2021,51165,Rockingham,Central Shenandoah,Northwest,Not Reported,Male,0
03/17/2021,51107,Loudoun,Loudoun,Northern,Not Reported,Male,0
03/17/2021,51760,Richmond City,Richmond,Central,At Least One Dose,Male,16653
03/17/2021,51005,Alleghany,Alleghany,Southwest,Not Reported,Female,0
03/17/2021,51015,Augusta,Central Shenandoah,Northwest,Fully Vaccinated,Male,5647
03/17/2021,51775,Salem,Alleghany,Southwest,At Least One Dose,Male,2671
03/17/2021,51159,Richmond County,Three Rivers,Eastern,At Least One Dose,Male,979
03/17/2021,51169,Scott,Lenowisco,Southwest,At Least One Dose,Male,1807
03/17/2021,51075,Goochland,Chickahominy,Central,At Least One Dose,Not Reported,15
03/17/2021,51087,Henrico,Henrico,Central,At Least One Dose,Male,28638
03/17/2021,51810,Virginia Beach,Virginia Beach,Eastern,Fully Vaccinated,Male,15583
03/17/2021,51520,Bristol,Mount Rogers,Southwest,Fully Vaccinated,Male,841
03/17/2021,51580,Covington,Alleghany,Southwest,Fully Vaccinated,Female,302
03/17/2021,51005,Alleghany,Alleghany,Southwest,At Least One Dose,Female,2175
03/17/2021,51131,Northampton,Eastern Shore,Eastern,Not Reported,Female,0
03/17/2021,51043,Clarke,Lord Fairfax,Northwest,Fully Vaccinated,Not Reported,2
03/17/2021,51161,Roanoke County,Alleghany,Southwest,Fully Vaccinated,Not Reported,0
03/17/2021,51093,Isle of Wight,Western Tidewater,Eastern,Fully Vaccinated,Female,2808
03/17/2021,51021,Bland,Mount Rogers,Southwest,Fully Vaccinated,Not Reported,0
03/17/2021,51683,Manassas City,Prince William,Northern,At Least One Dose,Not Reported,12
03/17/2021,51570,Colonial Heights,Chesterfield,Central,Fully Vaccinated,Male,475
03/17/2021,51670,Hopewell,Crater,Central,Not Reported,Female,0
03/17/2021,51185,Tazewell,Cumberland Plateau,Southwest,Not Reported,Not Reported,0
03/17/2021,51047,Culpeper,Rappahannock Rapidan,Northwest,Fully Vaccinated,Male,2481
03/17/2021,51600,Fairfax City,Fairfax,Northern,Fully Vaccinated,Female,1892
03/17/2021,51087,Henrico,Henrico,Central,Not Reported,Female,0
03/17/2021,51103,Lancaster,Three Rivers,Eastern,Fully Vaccinated,Female,1297
03/17/2021,51183,Sussex,Crater,Central,At Least One Dose,Not Reported,1
03/17/2021,51171,Shenandoah,Lord Fairfax,Northwest,At Least One Dose,Not Reported,15
03/17/2021,51147,Prince Edward,Piedmont,Central,At Least One Dose,Female,2311
03/17/2021,51680,Lynchburg,Central Virginia,Southwest,Not Reported,Male,0
03/17/2021,51011,Appomattox,Central Virginia,Southwest,Not Reported,Female,0
03/17/2021,51685,Manassas Park,Prince William,Northern,Fully Vaccinated,Female,926
03/17/2021,51127,New Kent,Chickahominy,Central,Not Reported,Female,0
03/17/2021,51065,Fluvanna,Blue Ridge,Northwest,At Least One Dose,Male,2523
03/17/2021,51121,Montgomery,New River,Southwest,Fully Vaccinated,Not Reported,8
03/17/2021,51061,Fauquier,Rappahannock Rapidan,Northwest,Fully Vaccinated,Female,5512
03/17/2021,51540,Charlottesville,Blue Ridge,Northwest,Not Reported,Male,0
03/17/2021,51079,Greene,Blue Ridge,Northwest,At Least One Dose,Not Reported,59
03/17/2021,51103,Lancaster,Three Rivers,Eastern,At Least One Dose,Male,1629
03/17/2021,51143,Pittsylvania,Pittsylvania-Danville,Southwest,Fully Vaccinated,Male,2991
03/17/2021,51057,Essex,Three Rivers,Eastern,At Least One Dose,Not Reported,0
03/17/2021,51775,Salem,Alleghany,Southwest,Not Reported,Female,0
03/17/2021,51159,Richmond County,Three Rivers,Eastern,Not Reported,Female,0
03/17/2021,51077,Grayson,Mount Rogers,Southwest,Fully Vaccinated,Male,1185
03/17/2021,51149,Prince George,Crater,Central,At Least One Dose,Not Reported,3
03/17/2021,51051,Dickenson,Cumberland Plateau,Southwest,Fully Vaccinated,Female,1197
03/17/2021,51035,Carroll,Mount Rogers,Southwest,Not Reported,Male,0
03/17/2021,51091,Highland,Central Shenandoah,Northwest,Not Reported,Not Reported,0
03/17/2021,51036,Charles City,Chickahominy,Central,Not Reported,Male,0
03/17/2021,51685,Manassas Park,Prince William,Northern,Not Reported,Male,0
03/17/2021,51145,Powhatan,Chesterfield,Central,Not Reported,Female,0
03/17/2021,51840,Winchester,Lord Fairfax,Northwest,Fully Vaccinated,Male,1710
03/17/2021,51710,Norfolk,Norfolk,Eastern,Not Reported,Female,0
03/17/2021,51077,Grayson,Mount Rogers,Southwest,At Least One Dose,Not Reported,1
03/17/2021,51095,James City,Peninsula,Eastern,Not Reported,Female,0
03/17/2021,51685,Manassas Park,Prince William,Northern,Fully Vaccinated,Not Reported,2
03/17/2021,51155,Pulaski,New River,Southwest,Not Reported,Male,0
03/17/2021,51660,Harrisonburg,Central Shenandoah,Northwest,Not Reported,Female,0
03/17/2021,51147,Prince Edward,Piedmont,Central,At Least One Dose,Not Reported,19
03/17/2021,51013,Arlington,Arlington,Northern,Fully Vaccinated,Female,12577
03/17/2021,51683,Manassas City,Prince William,Northern,Fully Vaccinated,Not Reported,5
03/17/2021,51520,Bristol,Mount Rogers,Southwest,Not Reported,Not Reported,0
03/17/2021,51670,Hopewell,Crater,Central,Fully Vaccinated,Male,466
03/17/2021,51127,New Kent,Chickahominy,Central,Fully Vaccinated,Female,1992
03/17/2021,51051,Dickenson,Cumberland Plateau,Southwest,Not Reported,Female,0
03/17/2021,51115,Mathews,Three Rivers,Eastern,Not Reported,Male,0
03/17/2021,51091,Highland,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,0
03/17/2021,51155,Pulaski,New River,Southwest,Fully Vaccinated,Not Reported,1
03/17/2021,51115,Mathews,Three Rivers,Eastern,Not Reported,Not Reported,0
03/17/2021,51103,Lancaster,Three Rivers,Eastern,Not Reported,Female,0
03/17/2021,51001,Accomack,Eastern Shore,Eastern,At Least One Dose,Female,4959
03/17/2021,51099,King George,Rappahannock,Northwest,Fully Vaccinated,Not Reported,2
03/17/2021,51530,Buena Vista City,Central Shenandoah,Northwest,Not Reported,Female,0
03/17/2021,51580,Covington,Alleghany,Southwest,Not Reported,Male,0
03/17/2021,51037,Charlotte,Piedmont,Central,Not Reported,Female,0
03/17/2021,51137,Orange,Rappahannock Rapidan,Northwest,Fully Vaccinated,Female,2895
03/17/2021,51135,Nottoway,Piedmont,Central,Fully Vaccinated,Female,866
03/17/2021,51111,Lunenburg,Piedmont,Central,At Least One Dose,Female,1277
03/17/2021,51580,Covington,Alleghany,Southwest,At Least One Dose,Male,438
03/17/2021,51610,Falls Church,Fairfax,Northern,At Least One Dose,Female,1805
03/17/2021,51840,Winchester,Lord Fairfax,Northwest,At Least One Dose,Not Reported,4
03/17/2021,51800,Suffolk,Western Tidewater,Eastern,Fully Vaccinated,Female,5261
03/17/2021,51071,Giles,New River,Southwest,Not Reported,Male,0
03/17/2021,51027,Buchanan,Cumberland Plateau,Southwest,Not Reported,Female,0
03/17/2021,51003,Albemarle,Blue Ridge,Northwest,At Least One Dose,Not Reported,590
03/17/2021,51600,Fairfax City,Fairfax,Northern,Not Reported,Female,0
03/17/2021,51065,Fluvanna,Blue Ridge,Northwest,Not Reported,Female,0
03/17/2021,51580,Covington,Alleghany,Southwest,Not Reported,Not Reported,0
03/17/2021,51830,Williamsburg,Peninsula,Eastern,Not Reported,Male,0
03/17/2021,51143,Pittsylvania,Pittsylvania-Danville,Southwest,Not Reported,Male,0
03/17/2021,51800,Suffolk,Western Tidewater,Eastern,At Least One Dose,Female,9933
03/17/2021,51101,King William,Three Rivers,Eastern,Not Reported,Not Reported,0
03/17/2021,51053,Dinwiddie,Crater,Central,Fully Vaccinated,Female,1278
03/17/2021,51760,Richmond City,Richmond,Central,Fully Vaccinated,Male,7845
03/17/2021,51023,Botetourt,Alleghany,Southwest,At Least One Dose,Male,3753
03/17/2021,51051,Dickenson,Cumberland Plateau,Southwest,Not Reported,Male,0
03/17/2021,51115,Mathews,Three Rivers,Eastern,Not Reported,Female,0
03/17/2021,51009,Amherst,Central Virginia,Southwest,At Least One Dose,Not Reported,10
03/17/2021,51183,Sussex,Crater,Central,Not Reported,Male,0
03/17/2021,51035,Carroll,Mount Rogers,Southwest,At Least One Dose,Female,2808
03/17/2021,51015,Augusta,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,32
03/17/2021,51036,Charles City,Chickahominy,Central,At Least One Dose,Female,1177
03/17/2021,51167,Russell,Cumberland Plateau,Southwest,Fully Vaccinated,Male,1569
03/17/2021,51630,Fredericksburg,Rappahannock,Northwest,Not Reported,Male,0
03/17/2021,51017,Bath,Central Shenandoah,Northwest,Not Reported,Male,0
03/17/2021,51179,Stafford,Rappahannock,Northwest,Fully Vaccinated,Male,5645
03/17/2021,51121,Montgomery,New River,Southwest,At Least One Dose,Female,12297
03/17/2021,51025,Brunswick,Southside,Central,At Least One Dose,Female,1847
03/17/2021,51530,Buena Vista City,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,0
03/17/2021,51678,Lexington,Central Shenandoah,Northwest,Fully Vaccinated,Male,249
03/17/2021,51740,Portsmouth,Portsmouth,Eastern,Fully Vaccinated,Female,3665
03/17/2021,51081,Greensville,Crater,Central,Fully Vaccinated,Not Reported,0
03/17/2021,51025,Brunswick,Southside,Central,Fully Vaccinated,Not Reported,2
03/17/2021,51770,Roanoke City,Roanoke,Southwest,At Least One Dose,Not Reported,23
03/17/2021,51660,Harrisonburg,Central Shenandoah,Northwest,Not Reported,Male,0
03/17/2021,51017,Bath,Central Shenandoah,Northwest,At Least One Dose,Male,372
