Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
03/08/2021,51173,Smyth,Mount Rogers,Local Health Departments,J&J,1,500
02/12/2021,51059,Fairfax,Fairfax,Medical Practices,Pfizer,2,1950
02/20/2021,51143,Pittsylvania,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,100
02/01/2021,51083,Halifax,Southside,Pharmacies,Moderna,1,300
04/01/2021,51169,Scott,Lenowisco,Pharmacies,Moderna,2,100
02/01/2021,51087,Henrico,Henrico,Local Health Departments,Moderna,1,1700
03/27/2021,51800,Suffolk,Western Tidewater,Local Health Departments,Pfizer,2,1170
02/04/2021,51159,Richmond County,Three Rivers,Other Community Health Providers,Moderna,2,200
02/24/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,1,300
03/27/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,3510
03/25/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,2,200
04/11/2021,51027,Buchanan,Cumberland Plateau,Pharmacies,Moderna,2,100
03/13/2021,51760,Richmond City,Richmond,Hospitals,Pfizer,2,1170
03/06/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,2,1170
03/01/2021,51119,Middlesex,Three Rivers,Local Health Departments,J&J,1,1000
02/01/2021,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,1,200
04/11/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,1900
02/01/2021,51590,Danville,Pittsylvania-Danville,Medical Practices,Moderna,1,300
04/06/2021,51041,Chesterfield,Chesterfield,Local Health Departments,J&J,1,1000
01/28/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,2000
04/01/2021,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,1,100
03/21/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,4700
04/22/2021,51195,Wise,Lenowisco,Pharmacies,Moderna,2,100
02/20/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,3700
03/12/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,1,1170
04/08/2021,51183,Sussex,Crater,Other Community Health Providers,Moderna,2,200
04/15/2021,51710,Norfolk,Norfolk,Pharmacies,Moderna,2,400
02/04/2021,51195,Wise,Lenowisco,Pharmacies,Moderna,2,200
04/22/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,2,100
01/23/2021,51059,Fairfax,Fairfax,Hospitals,Pfizer,1,975
02/28/2021,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,300
03/25/2021,51191,Washington,Mount Rogers,Pharmacies,Moderna,2,100
03/18/2021,51550,Chesapeake,Chesapeake,Hospitals,Moderna,2,200
03/28/2021,51099,King George,Rappahannock,Medical Practices,Moderna,1,100
03/28/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,1400
02/13/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,2,7800
04/01/2021,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,2,300
02/07/2021,51510,Alexandria,Alexandria,Local Health Departments,Moderna,2,2400
01/04/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,3900
01/11/2021,51073,Gloucester,Three Rivers,Hospitals,Moderna,2,500
03/20/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,2,1170
03/04/2021,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,2,100
03/14/2021,51173,Smyth,Mount Rogers,Pharmacies,Moderna,1,200
04/04/2021,51740,Portsmouth,Portsmouth,Hospitals,J&J,1,500
03/14/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,1,1100
04/08/2021,51730,Petersburg,Crater,Local Health Departments,Moderna,2,700
03/22/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,1,200
04/18/2021,51179,Stafford,Rappahannock,Medical Practices,Moderna,1,100
03/15/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,1,600
03/28/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,1,100
03/04/2021,51145,Powhatan,Chesterfield,Other Community Health Providers,Moderna,2,200
02/25/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,2,100
04/29/2021,51145,Powhatan,Chesterfield,Pharmacies,Moderna,2,200
04/29/2021,51145,Powhatan,Chesterfield,Medical Practices,Moderna,1,100
04/04/2021,51085,Hanover,Chickahominy,Local Health Departments,J&J,1,3000
03/15/2021,51069,Frederick,Lord Fairfax,Pharmacies,Moderna,1,300
03/14/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,200
01/18/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,1,2400
04/18/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,300
04/11/2021,51117,Mecklenburg,Southside,Medical Practices,Moderna,2,200
02/26/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,1170
02/04/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Moderna,2,1400
03/28/2021,51019,Bedford,Central Virginia,Medical Practices,Moderna,1,100
04/01/2021,51171,Shenandoah,Lord Fairfax,Pharmacies,Moderna,1,300
04/22/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,2,700
03/14/2021,51073,Gloucester,Three Rivers,Hospitals,Moderna,1,100
04/08/2021,51177,Spotsylvania,Rappahannock,Medical Practices,Moderna,2,300
03/27/2021,51710,Norfolk,Norfolk,Pharmacies,Pfizer,2,1170
02/01/2021,51083,Halifax,Southside,Other Community Health Providers,Moderna,1,100
03/06/2021,51683,Manassas City,Prince William,Hospitals,Pfizer,2,3510
04/15/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,2,800
01/11/2021,51017,Bath,Central Shenandoah,Hospitals,Moderna,2,400
02/22/2021,51065,Fluvanna,Blue Ridge,Medical Practices,Moderna,2,200
04/22/2021,51147,Prince Edward,Piedmont,Pharmacies,Moderna,2,100
02/28/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,1,200
01/28/2021,51187,Warren,Lord Fairfax,Local Health Departments,Moderna,2,200
03/30/2021,51700,Newport News,Peninsula,Hospitals,J&J,1,300
04/01/2021,51075,Goochland,Chickahominy,Pharmacies,Moderna,1,100
01/11/2021,51690,Martinsville,West Piedmont,Hospitals,Moderna,2,2500
04/18/2021,51107,Loudoun,Loudoun,Medical Practices,Moderna,1,100
01/24/2021,51013,Arlington,Arlington,Local Health Departments,Moderna,1,1800
03/14/2021,51670,Hopewell,Crater,Pharmacies,Moderna,1,200
04/03/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,3510
02/28/2021,51153,Prince William,Prince William,Medical Practices,Moderna,1,500
03/04/2021,51185,Tazewell,Cumberland Plateau,Pharmacies,Moderna,2,100
04/01/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,2,300
04/11/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,100
04/11/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,2,100
02/01/2021,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,1,1100
03/27/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,1,1170
04/23/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,1,1170
01/11/2021,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,2,2500
03/15/2021,51590,Danville,Pittsylvania-Danville,Pharmacies,Moderna,1,300
02/25/2021,51099,King George,Rappahannock,Pharmacies,Moderna,2,100
04/11/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,1,100
04/22/2021,51177,Spotsylvania,Rappahannock,Medical Practices,Moderna,2,200
04/22/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,2,200
04/11/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,1900
12/20/2020,51191,Washington,Mount Rogers,Hospitals,Moderna,1,3000
02/07/2021,51085,Hanover,Chickahominy,Hospitals,Moderna,2,300
03/11/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Moderna,2,200
02/25/2021,51710,Norfolk,Norfolk,Pharmacies,Moderna,2,100
02/24/2021,51053,Dinwiddie,Crater,Medical Practices,Moderna,1,100
04/01/2021,51087,Henrico,Henrico,Other Community Health Providers,Moderna,2,700
02/07/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,1,100
03/07/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,1,1500
01/10/2021,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,1,400
03/28/2021,51027,Buchanan,Cumberland Plateau,Medical Practices,Moderna,1,100
04/11/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,1,1100
03/27/2021,51640,Galax,Mount Rogers,Hospitals,Pfizer,1,1170
02/07/2021,51143,Pittsylvania,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,100
03/06/2021,51770,Roanoke City,Roanoke,Hospitals,Pfizer,2,1170
02/07/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,1700
02/04/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,300
03/28/2021,51145,Powhatan,Chesterfield,Medical Practices,Moderna,1,100
03/11/2021,51141,Patrick,West Piedmont,Local Health Departments,Moderna,2,100
04/11/2021,51171,Shenandoah,Lord Fairfax,Pharmacies,Moderna,2,200
03/13/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Pfizer,2,1170
04/11/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,200
04/05/2021,51640,Galax,Mount Rogers,Medical Practices,Moderna,1,200
04/04/2021,51760,Richmond City,Richmond,Local Health Departments,J&J,1,10000
04/22/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,1300
02/20/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,2,300
02/24/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,1,200
01/24/2021,51065,Fluvanna,Blue Ridge,Other Community Health Providers,Moderna,1,900
01/23/2021,51710,Norfolk,Norfolk,Local Health Departments,Pfizer,1,975
